Depth [cm],Wet Density [g/cc],Dry Density [g/cm^3],Water Content[g],,tare (Empty valve) [g],weight of sed and valve [],volume of sample [cc],Dry weight (sed and valve),,
2,1.422608696,0.46,1.107,,6.782,8.418,1.15,7.311,,
4,1.065,0.174375,1.425,,6.853,8.557,1.6,7.132,,
6,1.21,0.17,1.04,,6.808,8.018,1,6.978,,Colors done for sed horizons
8,0.9876923077,0.1230769231,1.124,,6.795,8.079,1.3,6.955,,
10,1.195,0.1742857143,1.429,,6.773,8.446,1.4,7.017,,
12,1.173846154,0.1807692308,1.291,,6.763,8.289,1.3,6.998,,
14,0.9641666667,0.1175,1.016,,6.810,7.967,1.2,6.951,,
16,1.103846154,0.1807692308,1.2,,6.794,8.229,1.3,7.029,,
18,1.259230769,0.2307692308,1.337,,6.792,8.429,1.3,7.092,,
20,1.095454545,0.19,0.996,,6.854,8.059,1.1,7.063,,
22,1.045384615,0.2307692308,1.059,,6.763,8.122,1.3,7.063,,
24,1.280555556,0.2622222222,1.833,,6.806,9.111,1.8,7.278,,
26,1.145,0.1933333333,1.142,,6.793,8.167,1.2,7.025,,
28,1.033333333,0.1926666667,1.261,,6.900,8.45,1.5,7.189,,
30,1.012857143,0.1692857143,1.181,,6.875,8.293,1.4,7.112,,
32,1.093793103,0.3427586207,1.089,,6.762,8.348,1.45,7.259,,
34,1.013846154,0.1846153846,1.078,,6.848,8.166,1.3,7.088,,
36,1.18,0.2346666667,1.418,,6.743,8.513,1.5,7.095,,
38,0.9614285714,0.1557142857,1.128,,6.763,8.109,1.4,6.981,,
40,1.12625,0.428125,1.117,,6.794,8.596,1.6,7.479,,
42,0.9964285714,0.225,1.08,,6.788,8.183,1.4,7.103,,
44,1.165333333,0.3946666667,1.156,,6.825,8.573,1.5,7.417,,
46,1.015882353,0.3947058824,1.056,,6.834,8.561,1.7,7.505,,
48,1.080714286,0.1885714286,1.249,,6.771,8.284,1.4,7.035,,
50,1.238461538,0.2115384615,1.335,,6.805,8.415,1.3,7.08,,
52,0.9921212121,0.1775757576,1.344,,6.850,8.487,1.65,7.143,,
54,1.004166667,0.1841666667,0.984,,6.816,8.021,1.2,7.037,,
