Depth,Mean,Median
1,140.95,52.277
3,129.071,54.2049
5,88.2419,50.444
7,98.5026,51.4156
9,81.702,39.6619
11,55.9924,31.5692
13,59.7223,35.9781
15,62.8514,35.7005
17,49.8243,26.657
19,47.0223,30.8989
21,47.1561,31.6618
23,55.3083,39.0452
25,47.1693,32.817
27,50.4574,33.7549
29,51.0301,35.3269
31,77.0613,45.2201
33,73.2645,47.4895
35,80.3053,45.0701
37,165.132,71.4821
39,73.9658,43.9909
41,49.7066,36.8104
43,47.2336,33.4381
45,63.2922,42.2953
47,72.0972,46.9985
49,79.2089,50.8248
51,63.0722,48.8136
53,60.8049,45.6216
